Timestamp,Connected,Signal,Latency,Download,Upload
2026-02-01T09:09:54.594Z,true,100,15,0,5
2026-02-01T09:10:02.640Z,true,100,27,0,5
2026-02-01T09:10:10.622Z,true,100,28,0,5
2026-02-01T09:10:18.615Z,true,100,14,0,5
2026-02-01T09:10:26.618Z,true,100,14,0,5
2026-02-01T09:10:34.626Z,true,100,14,0,5
2026-02-01T09:10:42.600Z,true,100,15,0,5
2026-02-01T09:10:50.596Z,true,100,15,0,5
2026-02-01T09:10:51.122Z,true,100,14,0,5
2026-02-01T09:10:58.600Z,true,95,15,0,5
2026-02-01T09:11:06.625Z,true,100,14,0,5
2026-02-01T09:11:14.608Z,true,100,14,0,5
2026-02-01T09:11:22.578Z,true,100,14,0,5
2026-02-01T09:11:30.636Z,true,90,15,0,5
2026-02-01T09:11:38.602Z,true,90,14,0,5
2026-02-01T09:11:46.608Z,true,90,15,0,5
2026-02-01T09:11:51.167Z,true,90,14,0,5
2026-02-01T09:11:54.601Z,true,90,16,0,5
2026-02-01T09:12:02.640Z,true,90,27,0,5
2026-02-01T09:12:10.601Z,true,90,14,0,5
2026-02-01T09:12:18.628Z,true,90,15,0,5
2026-02-01T09:12:26.602Z,true,90,14,0,5
2026-02-01T09:12:34.621Z,true,95,15,0,5
2026-02-01T09:12:42.605Z,true,95,16,0,5
2026-02-01T09:12:50.583Z,true,95,15,0,5
2026-02-01T09:12:51.140Z,true,95,14,0,5
2026-02-01T09:12:58.622Z,true,95,15,0,5
2026-02-01T09:13:06.613Z,true,95,14,0,5
2026-02-01T09:13:14.636Z,true,90,25,0,5
2026-02-01T09:13:22.656Z,true,90,15,0,5
2026-02-01T09:13:30.620Z,true,95,15,0,5
2026-02-01T09:13:38.646Z,true,75,14,0,5
2026-02-01T09:13:47.125Z,true,85,31,0,5
2026-02-01T09:13:51.203Z,true,85,16,0,5
2026-02-01T09:13:54.591Z,true,85,15,0,5
2026-02-01T09:14:02.605Z,true,85,28,0,5
2026-02-01T09:14:10.629Z,true,85,15,0,5
2026-02-01T09:14:18.648Z,true,85,27,0,5
2026-02-01T09:14:26.625Z,true,85,14,0,5
